Part report,,,,,,,
,,,,,,,
Program name,rt-87900-PN-R003,,,,,,
Measurement Date and Time,1/13/2026 6:57:52 PM,,,,,,
Lot No.,,,,,,,
Name,,,,,,,
Item name,,,,,,,
Measurement device,KEYENCE IM Series(PC-OTH71F0DLS09),,,,,,
Overall result,NG(OK:0 --:2 NG:2 FAIL:0),,,,,,
Remarks,,,,,,,
,,,,,,,
<No. 1 area>,,,,,,,
Serial Counter,5,,,,,,
Overall result,---,,,,,,
Measurement results,,,,,,,
No.,measurement item,mes. value,units,design val.,upper limit,lower limit,res.
1,LN-PT001,4.2524,inch,4.25,0.01,-0.01,OK
2,LN-PT002,0.7816,inch,0.78,0.01,-0.01,OK
3,PT-PT001,2.7201,inch,0,2.73,2.72,OK
4,PT-PT002,1.9009,inch,1.9,0.005,-0.005,OK
5,LN-LN002,0.3774,inch,0,0,0,---
6,LN-PT003,0.4514,inch,0.45,0.01,-0.01,OK
7,LN-PT004,0.1196,inch,0.12,0.01,-0.01,OK
8,ARC001,0.1915,inch,0.19,0.01,-0.01,OK
9,ARC002,0.1886,inch,0.19,0.01,-0.01,OK
10,ARC003,0.1881,inch,0.19,0.01,-0.01,OK
11,ARC004,0.1904,inch,0.19,0.01,-0.01,OK
12,ARC005,0.1909,inch,0.19,0.01,-0.01,OK
13,LN-LN003,1.3789,inch,1.38,0.01,-0.01,OK
14,ARC006,0.5016,inch,0.5,0.01,-0.01,OK
15,LN-PT005,2.0992,inch,2.1,0.01,-0.01,OK
16,ANGLE001,134.78,deg,135,0.5,-0.5,OK
,,,,,,,
<No. 2 area>,,,,,,,
Serial Counter,6,,,,,,
Overall result,NG,,,,,,
Measurement results,,,,,,,
No.,measurement item,mes. value,units,design val.,upper limit,lower limit,res.
1,LN-PT001,4.2518,inch,4.25,0.01,-0.01,OK
2,LN-PT002,0.7795,inch,0.78,0.01,-0.01,OK
3,PT-PT001,2.7212,inch,0,2.73,2.72,OK
4,PT-PT002,1.9008,inch,1.9,0.005,-0.005,OK
5,LN-LN002,0.3759,inch,0,0,0,---
6,LN-PT003,0.4502,inch,0.45,0.01,-0.01,OK
7,LN-PT004,0.1076,inch,0.12,0.01,-0.01,NG
8,ARC001,0.1888,inch,0.19,0.01,-0.01,OK
9,ARC002,0.1876,inch,0.19,0.01,-0.01,OK
10,ARC003,0.1852,inch,0.19,0.01,-0.01,OK
11,ARC004,0.1892,inch,0.19,0.01,-0.01,OK
12,ARC005,0.1914,inch,0.19,0.01,-0.01,OK
13,LN-LN003,1.3775,inch,1.38,0.01,-0.01,OK
14,ARC006,0.5007,inch,0.5,0.01,-0.01,OK
15,LN-PT005,2.1018,inch,2.1,0.01,-0.01,OK
16,ANGLE001,134.86,deg,135,0.5,-0.5,OK
,,,,,,,
<No. 3 area>,,,,,,,
Serial Counter,7,,,,,,
Overall result,NG,,,,,,
Measurement results,,,,,,,
No.,measurement item,mes. value,units,design val.,upper limit,lower limit,res.
1,LN-PT001,4.2503,inch,4.25,0.01,-0.01,OK
2,LN-PT002,0.7811,inch,0.78,0.01,-0.01,OK
3,PT-PT001,2.7196,inch,0,2.73,2.72,NG
4,PT-PT002,1.9018,inch,1.9,0.005,-0.005,OK
5,LN-LN002,0.3771,inch,0,0,0,---
6,LN-PT003,0.4506,inch,0.45,0.01,-0.01,OK
7,LN-PT004,0.1165,inch,0.12,0.01,-0.01,OK
8,ARC001,0.1896,inch,0.19,0.01,-0.01,OK
9,ARC002,0.1875,inch,0.19,0.01,-0.01,OK
10,ARC003,0.1904,inch,0.19,0.01,-0.01,OK
11,ARC004,0.1867,inch,0.19,0.01,-0.01,OK
12,ARC005,0.1905,inch,0.19,0.01,-0.01,OK
13,LN-LN003,1.3763,inch,1.38,0.01,-0.01,OK
14,ARC006,0.5008,inch,0.5,0.01,-0.01,OK
15,LN-PT005,2.0978,inch,2.1,0.01,-0.01,OK
16,ANGLE001,134.85,deg,135,0.5,-0.5,OK
,,,,,,,
<No. 4 area>,,,,,,,
Serial Counter,8,,,,,,
Overall result,---,,,,,,
Measurement results,,,,,,,
No.,measurement item,mes. value,units,design val.,upper limit,lower limit,res.
1,LN-PT001,4.2496,inch,4.25,0.01,-0.01,OK
2,LN-PT002,0.7801,inch,0.78,0.01,-0.01,OK
3,PT-PT001,2.7207,inch,0,2.73,2.72,OK
4,PT-PT002,1.9014,inch,1.9,0.005,-0.005,OK
5,LN-LN002,0.3785,inch,0,0,0,---
6,LN-PT003,0.4511,inch,0.45,0.01,-0.01,OK
7,LN-PT004,0.1196,inch,0.12,0.01,-0.01,OK
8,ARC001,0.1912,inch,0.19,0.01,-0.01,OK
9,ARC002,0.1883,inch,0.19,0.01,-0.01,OK
10,ARC003,0.1893,inch,0.19,0.01,-0.01,OK
11,ARC004,0.1877,inch,0.19,0.01,-0.01,OK
12,ARC005,0.1916,inch,0.19,0.01,-0.01,OK
13,LN-LN003,1.3767,inch,1.38,0.01,-0.01,OK
14,ARC006,0.5009,inch,0.5,0.01,-0.01,OK
15,LN-PT005,2.0989,inch,2.1,0.01,-0.01,OK
16,ANGLE001,134.62,deg,135,0.5,-0.5,OK
