Part report

Program name,rt-87900-PN-R003
Measurement Date and Time,1/13/2026 6:52:41 PM
Lot No.,
Name,
Item name,
Measurement device,KEYENCE IM Series(PC-OTH71F0DLS09)
Overall result,NG(OK:0 --:1 NG:1 FAIL:0)
Remarks,

<No. 1 area>
Serial Counter,0009
Overall result,NG
Measurement results
No.,measurement item,mes. value,units,design val.,upper limit,lower limit,res.
1,LN-PT001,4.2498,inch,4.2500,0.0100,-0.0100,OK,
2,LN-PT002,0.7803,inch,0.7800,0.0100,-0.0100,OK,
3,PT-PT001,2.7189,inch,0.0000,2.7300,2.7200,NG,
4,PT-PT002,1.8996,inch,1.9000,0.0050,-0.0050,OK,
5,LN-LN002,0.3777,inch,0.0000,0.0000,0.0000,---,
6,LN-PT003,0.4511,inch,0.4500,0.0100,-0.0100,OK,
7,LN-PT004,0.1209,inch,0.1200,0.0100,-0.0100,OK,
8,ARC001,0.1905,inch,0.1900,0.0100,-0.0100,OK,
9,ARC002,0.1889,inch,0.1900,0.0100,-0.0100,OK,
10,ARC003,0.1897,inch,0.1900,0.0100,-0.0100,OK,
11,ARC004,0.1871,inch,0.1900,0.0100,-0.0100,OK,
12,ARC005,0.1907,inch,0.1900,0.0100,-0.0100,OK,
13,LN-LN003,1.3765,inch,1.3800,0.0100,-0.0100,OK,
14,ARC006,0.5011,inch,0.5000,0.0100,-0.0100,OK,
15,LN-PT005,2.0995,inch,2.1000,0.0100,-0.0100,OK,
16,ANGLE001,134.70,deg,135.00,0.50,-0.50,OK,

<No. 2 area>
Serial Counter,0010
Overall result,---
Measurement results
No.,measurement item,mes. value,units,design val.,upper limit,lower limit,res.
1,LN-PT001,4.2508,inch,4.2500,0.0100,-0.0100,OK,
2,LN-PT002,0.7813,inch,0.7800,0.0100,-0.0100,OK,
3,PT-PT001,2.7205,inch,0.0000,2.7300,2.7200,OK,
4,PT-PT002,1.9015,inch,1.9000,0.0050,-0.0050,OK,
5,LN-LN002,0.3771,inch,0.0000,0.0000,0.0000,---,
6,LN-PT003,0.4510,inch,0.4500,0.0100,-0.0100,OK,
7,LN-PT004,0.1145,inch,0.1200,0.0100,-0.0100,OK,
8,ARC001,0.1913,inch,0.1900,0.0100,-0.0100,OK,
9,ARC002,0.1883,inch,0.1900,0.0100,-0.0100,OK,
10,ARC003,0.1900,inch,0.1900,0.0100,-0.0100,OK,
11,ARC004,0.1883,inch,0.1900,0.0100,-0.0100,OK,
12,ARC005,0.1904,inch,0.1900,0.0100,-0.0100,OK,
13,LN-LN003,1.3781,inch,1.3800,0.0100,-0.0100,OK,
14,ARC006,0.5019,inch,0.5000,0.0100,-0.0100,OK,
15,LN-PT005,2.0996,inch,2.1000,0.0100,-0.0100,OK,
16,ANGLE001,134.68,deg,135.00,0.50,-0.50,OK,
